id_maquina,data,estado,temperature,humidity,voltage,current,power
Machine_1,2025-04-05 19:28:00,OK,20.90,47.48,224.47,8.51,2418.70
Machine_1,2025-04-05 19:32:00,OK,49.91,41.78,239.92,5.19,1619.92
Machine_1,2025-04-05 19:36:00,Not OK,87.32,37.79,221.76,1.54,515.35
Machine_1,2025-04-05 19:40:00,OK,43.56,59.83,222.78,9.86,1301.21
Machine_1,2025-04-05 19:44:00,OK,26.54,41.82,226.85,5.69,1347.93
Machine_1,2025-04-05 19:48:00,OK,30.77,50.99,225.27,5.45,1087.18
Machine_1,2025-04-05 19:52:00,OK,59.21,40.75,224.21,5.70,1451.61
Machine_1,2025-04-05 19:56:00,OK,49.14,41.01,215.74,5.36,1144.30
Machine_1,2025-04-05 20:00:00,OK,26.03,45.57,237.87,7.45,1104.70
Machine_1,2025-04-05 20:04:00,OK,58.68,59.46,213.19,5.67,978.70
Machine_1,2025-04-05 20:08:00,OK,29.31,46.67,228.18,5.90,800.57
Machine_1,2025-04-05 20:12:00,OK,49.47,47.78,222.74,5.84,1300.77
Machine_1,2025-04-05 20:16:00,Not OK,72.97,37.86,229.08,8.05,1675.71
Machine_1,2025-04-05 20:20:00,OK,26.78,46.81,210.36,7.19,1201.72
Machine_1,2025-04-05 20:24:00,Not OK,37.39,36.35,219.88,12.99,310.85
Machine_1,2025-04-05 20:28:00,OK,36.82,47.65,218.76,5.71,573.97
Machine_1,2025-04-05 20:32:00,Not OK,8.94,85.47,210.10,6.49,956.13
Machine_1,2025-04-05 20:36:00,OK,34.80,41.10,223.78,9.75,2084.89
Machine_1,2025-04-05 20:40:00,OK,24.96,51.76,228.62,8.36,1457.79
Machine_1,2025-04-05 20:44:00,Not OK,7.08,37.92,229.46,9.90,2474.09
Machine_1,2025-04-05 20:48:00,OK,46.41,48.45,223.75,8.62,1981.33
Machine_1,2025-04-05 20:52:00,OK,50.49,57.28,216.51,6.99,1801.07
Machine_1,2025-04-05 20:56:00,OK,26.16,38.97,233.21,8.65,1821.38
Machine_1,2025-04-05 21:00:00,OK,48.86,43.99,219.54,9.70,1371.85
Machine_1,2025-04-05 21:04:00,Not OK,5.39,46.98,213.42,8.61,205.59
Machine_1,2025-04-05 21:08:00,OK,55.59,36.48,236.43,9.34,2248.99
Machine_1,2025-04-05 21:12:00,OK,51.30,44.65,214.35,5.57,2348.31
Machine_1,2025-04-05 21:16:00,OK,36.29,53.61,226.54,8.78,2086.37
Machine_1,2025-04-05 21:20:00,OK,28.56,56.32,216.26,9.87,782.98
Machine_1,2025-04-05 21:24:00,Not OK,32.70,39.38,183.46,5.82,1948.66
Machine_1,2025-04-05 21:28:00,OK,58.48,47.10,232.85,5.86,626.75
Machine_1,2025-04-05 21:32:00,OK,34.33,57.70,218.29,9.27,1335.25
Machine_1,2025-04-05 21:36:00,OK,31.34,49.31,213.04,8.39,2352.72
Machine_1,2025-04-05 21:40:00,Not OK,40.88,6.11,226.50,7.63,183.35
Machine_1,2025-04-05 21:44:00,Not OK,75.64,52.27,185.85,13.74,852.36
Machine_1,2025-04-05 21:48:00,OK,24.76,44.01,224.06,5.20,2382.73
Machine_1,2025-04-05 21:52:00,Not OK,20.27,48.92,218.40,1.49,1798.49
Machine_1,2025-04-05 21:56:00,OK,42.79,39.47,236.29,9.18,1894.71
Machine_1,2025-04-05 22:00:00,OK,42.56,54.63,235.95,7.86,2388.29
Machine_1,2025-04-05 22:04:00,Not OK,47.09,34.42,219.47,2.07,327.25
Machine_1,2025-04-05 22:08:00,OK,58.83,36.92,234.21,8.99,1998.90
Machine_1,2025-04-05 22:12:00,OK,28.83,41.51,225.46,7.65,1034.58
Machine_1,2025-04-05 22:16:00,Not OK,33.05,83.32,229.12,11.39,510.52
Machine_1,2025-04-05 22:20:00,Not OK,24.19,38.59,224.57,5.14,4770.79
Machine_1,2025-04-05 22:24:00,OK,56.01,46.67,217.42,5.56,1444.63
Machine_1,2025-04-05 22:28:00,OK,28.91,44.79,235.49,7.84,1196.86
Machine_1,2025-04-05 22:32:00,OK,26.37,41.74,217.43,5.76,2269.82
Machine_1,2025-04-05 22:36:00,OK,54.59,53.80,219.99,9.53,995.09
Machine_1,2025-04-05 22:40:00,OK,51.24,50.20,231.06,5.53,592.21
Machine_1,2025-04-05 22:44:00,OK,27.48,55.60,222.75,7.94,2050.51
Machine_1,2025-04-05 22:48:00,OK,29.44,38.57,235.81,7.28,713.78
Machine_1,2025-04-05 22:52:00,OK,35.52,50.80,219.89,7.03,714.62
Machine_1,2025-04-05 22:56:00,OK,51.15,30.94,210.17,6.91,829.16
Machine_1,2025-04-05 23:00:00,OK,33.49,55.11,238.66,7.09,2195.98
Machine_1,2025-04-05 23:04:00,OK,49.06,51.78,228.84,7.88,1669.04
Machine_1,2025-04-05 23:08:00,Not OK,6.23,37.98,200.87,6.82,682.33
Machine_1,2025-04-05 23:12:00,OK,53.83,43.60,232.43,7.89,1204.88
Machine_1,2025-04-05 23:16:00,OK,27.28,45.56,214.52,6.80,1304.23
Machine_1,2025-04-05 23:20:00,Not OK,28.89,51.42,218.07,3.93,212.94
Machine_1,2025-04-05 23:24:00,OK,37.02,41.88,231.00,7.61,505.59
Machine_1,2025-04-05 23:28:00,OK,58.53,40.26,238.43,7.18,1612.41
Machine_1,2025-04-05 23:32:00,OK,31.75,39.68,228.06,5.50,2106.60
Machine_1,2025-04-05 23:36:00,OK,49.60,35.65,231.01,6.33,923.67
Machine_1,2025-04-05 23:40:00,OK,23.39,36.79,225.39,5.01,1314.46
Machine_1,2025-04-05 23:44:00,Not OK,53.68,46.10,234.43,9.23,4897.71
Machine_1,2025-04-05 23:48:00,Not OK,28.67,59.05,218.19,5.32,3033.07
Machine_1,2025-04-05 23:52:00,OK,32.22,31.66,219.43,8.38,1959.80
Machine_1,2025-04-05 23:56:00,OK,29.93,51.79,216.49,9.96,834.51
Machine_1,2025-04-06 00:00:00,OK,32.51,45.00,234.05,7.79,1210.32
Machine_1,2025-04-06 00:04:00,OK,52.02,46.28,235.02,8.90,1107.76
Machine_1,2025-04-06 00:08:00,OK,30.04,53.26,235.93,8.53,1173.20
Machine_1,2025-04-06 00:12:00,OK,34.10,48.74,214.74,7.83,1101.10
Machine_1,2025-04-06 00:16:00,OK,44.15,55.61,223.31,8.74,502.26
Machine_1,2025-04-06 00:20:00,Not OK,28.13,43.78,228.37,18.14,1371.32
Machine_1,2025-04-06 00:24:00,OK,43.26,31.32,237.57,7.02,1312.63
Machine_1,2025-04-06 00:28:00,OK,55.00,35.32,215.89,9.96,657.00
Machine_1,2025-04-06 00:32:00,Not OK,37.72,47.27,196.56,5.67,728.36
Machine_1,2025-04-06 00:36:00,OK,57.22,54.59,231.75,7.01,2247.46
Machine_1,2025-04-06 00:40:00,Not OK,22.54,50.45,238.69,5.46,3532.90
Machine_1,2025-04-06 00:44:00,Not OK,20.94,51.00,225.70,6.57,380.03
Machine_1,2025-04-06 00:48:00,Not OK,42.45,58.43,259.31,12.60,3213.39
Machine_1,2025-04-06 00:52:00,Not OK,57.57,46.55,216.27,9.66,348.34
Machine_1,2025-04-06 00:56:00,OK,34.03,50.02,222.17,7.48,1820.82
Machine_1,2025-04-06 01:00:00,Not OK,36.32,48.00,231.17,3.53,1589.40
Machine_1,2025-04-06 01:04:00,Not OK,51.20,59.64,227.85,3.36,1642.33
Machine_1,2025-04-06 01:08:00,OK,42.69,49.70,230.96,7.75,616.58
Machine_1,2025-04-06 01:12:00,Not OK,55.72,53.92,217.07,11.34,3310.45
Machine_1,2025-04-06 01:16:00,Not OK,39.02,80.54,258.72,1.70,2008.89
Machine_1,2025-04-06 01:20:00,OK,49.88,33.49,233.19,7.54,941.59
Machine_1,2025-04-06 01:24:00,OK,46.63,43.05,238.08,6.35,1773.35
Machine_1,2025-04-06 01:28:00,Not OK,42.88,95.85,225.64,9.26,994.88
Machine_1,2025-04-06 01:32:00,OK,47.69,56.68,232.79,7.44,2385.39
Machine_1,2025-04-06 01:36:00,Not OK,48.89,94.22,225.23,19.61,371.99
Machine_1,2025-04-06 01:40:00,Not OK,23.41,84.11,216.55,7.42,3449.03
Machine_1,2025-04-06 01:44:00,OK,40.98,38.55,210.90,9.57,1338.84
Machine_1,2025-04-06 01:48:00,OK,48.08,50.10,226.18,7.77,929.20
Machine_1,2025-04-06 01:52:00,OK,31.21,55.25,237.81,9.77,1953.37
Machine_1,2025-04-06 01:56:00,Not OK,12.65,53.88,238.45,7.38,1913.43
Machine_1,2025-04-06 02:00:00,OK,45.62,49.42,224.58,5.12,1486.69
Machine_1,2025-04-06 02:04:00,OK,21.25,36.81,226.28,5.64,1064.85
Machine_1,2025-04-06 02:08:00,OK,55.99,34.25,235.35,5.77,546.45
Machine_1,2025-04-06 02:12:00,Not OK,12.82,40.81,228.81,1.76,567.99
Machine_1,2025-04-06 02:16:00,OK,29.02,52.29,223.81,6.49,2252.19
Machine_1,2025-04-06 02:20:00,OK,23.67,31.19,212.24,9.29,2442.81
Machine_1,2025-04-06 02:24:00,OK,37.43,47.75,215.80,5.40,627.76
Machine_1,2025-04-06 02:28:00,OK,43.33,51.54,228.45,6.72,2485.06
Machine_1,2025-04-06 02:32:00,OK,56.28,40.42,219.41,5.57,981.01
Machine_1,2025-04-06 02:36:00,OK,57.87,41.46,225.11,5.60,530.71
Machine_1,2025-04-06 02:40:00,OK,48.84,40.14,236.62,9.24,2381.94
Machine_1,2025-04-06 02:44:00,OK,34.68,53.58,235.25,6.70,959.86
Machine_1,2025-04-06 02:48:00,OK,41.04,50.42,233.28,7.72,1367.80
Machine_1,2025-04-06 02:52:00,OK,34.75,38.26,226.03,7.45,763.23
Machine_1,2025-04-06 02:56:00,Not OK,42.77,19.59,239.00,6.41,1607.98
Machine_1,2025-04-06 03:00:00,OK,38.85,47.01,225.21,8.66,1569.58
Machine_1,2025-04-06 03:04:00,Not OK,57.99,52.82,219.65,12.80,668.94
Machine_1,2025-04-06 03:08:00,Not OK,38.93,11.26,232.12,7.51,4913.88
Machine_1,2025-04-06 03:12:00,OK,57.13,44.54,227.70,5.22,1968.66
Machine_1,2025-04-06 03:16:00,OK,20.21,37.99,239.36,5.54,2218.15
Machine_1,2025-04-06 03:20:00,OK,43.61,42.73,226.82,9.93,2143.88
Machine_1,2025-04-06 03:24:00,Not OK,45.46,5.95,192.09,6.91,808.66
Machine_1,2025-04-06 03:28:00,OK,24.39,35.88,222.92,8.68,2116.07
Machine_1,2025-04-06 03:32:00,OK,48.71,36.07,219.60,8.46,1787.53
Machine_1,2025-04-06 03:36:00,Not OK,51.85,45.15,250.14,3.52,737.54
Machine_1,2025-04-06 03:40:00,OK,31.92,39.79,234.79,7.28,1092.34
Machine_1,2025-04-06 03:44:00,Not OK,38.00,59.62,235.91,14.88,2190.22
Machine_1,2025-04-06 03:48:00,Not OK,23.02,33.96,197.33,5.62,3711.68
Machine_1,2025-04-06 03:52:00,OK,53.45,41.20,216.88,6.94,2287.05
Machine_1,2025-04-06 03:56:00,Not OK,82.29,34.61,193.17,6.44,2009.51
Machine_1,2025-04-06 04:00:00,OK,56.39,41.42,233.23,5.27,673.63
Machine_1,2025-04-06 04:04:00,Not OK,22.59,55.24,248.25,9.18,1462.86
Machine_1,2025-04-06 04:08:00,OK,27.31,41.18,227.82,8.74,1476.55
Machine_1,2025-04-06 04:12:00,OK,49.60,57.77,225.11,9.78,2052.50
Machine_1,2025-04-06 04:16:00,Not OK,42.73,10.65,228.83,5.99,1063.07
Machine_1,2025-04-06 04:20:00,OK,37.89,41.18,239.40,9.24,1480.10
Machine_1,2025-04-06 04:24:00,OK,24.40,49.63,224.74,9.79,1601.06
Machine_1,2025-04-06 04:28:00,OK,49.62,52.88,216.51,9.10,1159.97
Machine_1,2025-04-06 04:32:00,Not OK,59.79,51.15,184.05,7.24,818.26
Machine_1,2025-04-06 04:36:00,OK,59.08,56.25,223.09,7.71,1424.71
Machine_1,2025-04-06 04:40:00,OK,21.39,50.71,228.35,7.32,749.05
Machine_1,2025-04-06 04:44:00,OK,40.91,53.22,227.47,7.94,1465.17
Machine_1,2025-04-06 04:48:00,Not OK,31.56,56.06,236.45,6.83,364.06
Machine_1,2025-04-06 04:52:00,OK,35.35,41.18,237.64,9.98,1703.58
Machine_1,2025-04-06 04:56:00,OK,26.86,50.24,220.49,7.24,1942.00
Machine_1,2025-04-06 05:00:00,Not OK,13.42,52.00,224.74,8.64,857.01
Machine_1,2025-04-06 05:04:00,OK,48.57,38.50,229.77,9.95,1814.04
Machine_1,2025-04-06 05:08:00,OK,38.45,46.63,222.28,7.89,1254.25
Machine_1,2025-04-06 05:12:00,OK,53.37,53.62,233.94,7.35,593.38
Machine_1,2025-04-06 05:16:00,OK,45.24,58.15,225.31,9.03,1797.09
Machine_1,2025-04-06 05:20:00,Not OK,30.44,59.97,218.21,17.75,396.23
Machine_1,2025-04-06 05:24:00,Not OK,23.12,58.68,221.25,4.00,2441.47
Machine_1,2025-04-06 05:28:00,OK,55.12,49.73,217.55,5.38,573.59
Machine_1,2025-04-06 05:32:00,OK,26.16,48.35,231.93,6.26,1206.20
Machine_1,2025-04-06 05:36:00,Not OK,77.63,40.76,225.15,3.65,287.30
Machine_1,2025-04-06 05:40:00,Not OK,24.33,14.08,236.10,12.48,2412.88
Machine_1,2025-04-06 05:44:00,Not OK,88.93,55.63,230.56,14.75,1458.17
Machine_1,2025-04-06 05:48:00,OK,37.16,44.87,229.25,8.46,1675.16
Machine_1,2025-04-06 05:52:00,OK,29.91,57.75,231.39,5.73,647.82
Machine_1,2025-04-06 05:56:00,OK,46.20,46.77,213.19,7.27,1783.62
Machine_1,2025-04-06 06:00:00,Not OK,33.55,38.91,180.66,9.40,2397.35
Machine_1,2025-04-06 06:04:00,OK,53.26,41.33,224.86,7.25,615.17
Machine_1,2025-04-06 06:08:00,OK,37.33,36.47,218.07,6.74,2477.65
Machine_1,2025-04-06 06:12:00,OK,47.67,41.31,213.01,5.03,2232.39
Machine_1,2025-04-06 06:16:00,OK,39.23,37.32,222.54,6.24,574.21
Machine_1,2025-04-06 06:20:00,Not OK,56.04,38.08,227.15,9.82,4966.60
Machine_1,2025-04-06 06:24:00,Not OK,21.23,42.35,236.28,3.81,2495.94
Machine_1,2025-04-06 06:28:00,OK,44.18,58.98,214.22,7.64,1471.59
Machine_1,2025-04-06 06:32:00,OK,42.63,37.04,221.88,9.75,1011.21
Machine_1,2025-04-06 06:36:00,Not OK,24.99,58.07,186.55,9.99,575.62
Machine_1,2025-04-06 06:40:00,OK,21.94,58.22,232.62,9.17,2169.65
Machine_1,2025-04-06 06:44:00,Not OK,28.04,51.69,187.40,2.11,2402.00
Machine_1,2025-04-06 06:48:00,OK,59.88,56.53,231.10,5.55,594.58
Machine_1,2025-04-06 06:52:00,OK,56.71,52.27,218.78,7.08,716.91
Machine_1,2025-04-06 06:56:00,OK,47.96,58.08,233.82,8.91,932.11
Machine_1,2025-04-06 07:00:00,Not OK,31.57,81.33,231.49,9.76,2094.22
Machine_1,2025-04-06 07:04:00,Not OK,57.00,53.78,220.41,11.84,765.33
Machine_1,2025-04-06 07:08:00,Not OK,62.21,41.63,229.82,5.75,376.92
Machine_1,2025-04-06 07:12:00,OK,55.32,34.11,235.42,9.81,1562.20
Machine_1,2025-04-06 07:16:00,Not OK,26.13,49.84,232.64,5.13,3868.07
Machine_1,2025-04-06 07:20:00,Not OK,34.55,31.68,180.29,7.40,123.69
Machine_1,2025-04-06 07:24:00,Not OK,31.76,58.78,225.05,2.95,1110.39
Machine_1,2025-04-06 07:28:00,Not OK,31.74,44.06,237.32,7.65,123.33
Machine_1,2025-04-06 07:32:00,Not OK,46.42,57.60,226.83,5.55,3089.71
Machine_1,2025-04-06 07:36:00,OK,59.40,51.65,228.81,6.02,2380.94
Machine_1,2025-04-06 07:40:00,OK,23.70,36.08,219.88,5.21,857.08
Machine_1,2025-04-06 07:44:00,OK,33.91,42.82,213.01,7.76,710.68
Machine_1,2025-04-06 07:48:00,Not OK,82.00,49.31,220.19,6.25,2041.32
Machine_1,2025-04-06 07:52:00,OK,38.09,56.59,221.33,9.41,897.46
Machine_1,2025-04-06 07:56:00,OK,46.22,58.40,231.26,8.41,1871.86
Machine_1,2025-04-06 08:00:00,OK,30.71,44.17,238.14,5.05,1371.32
Machine_1,2025-04-06 08:04:00,Not OK,28.16,54.68,255.27,7.70,4666.90
Machine_1,2025-04-06 08:08:00,Not OK,41.93,51.73,230.23,7.91,3451.42
Machine_1,2025-04-06 08:12:00,OK,21.70,47.63,217.02,9.37,1064.53
Machine_1,2025-04-06 08:16:00,OK,50.96,59.96,211.53,5.50,771.36
Machine_1,2025-04-06 08:20:00,OK,29.61,58.81,223.43,9.06,1167.36
Machine_1,2025-04-06 08:24:00,OK,36.91,49.67,216.76,5.20,888.20
Machine_1,2025-04-06 08:28:00,Not OK,42.10,41.31,180.08,5.95,277.20
Machine_1,2025-04-06 08:32:00,OK,20.10,47.33,229.79,9.78,1123.81
Machine_1,2025-04-06 08:36:00,OK,21.96,50.85,231.38,7.37,1851.39
Machine_1,2025-04-06 08:40:00,Not OK,54.91,11.28,211.19,6.44,1219.00
Machine_1,2025-04-06 08:44:00,OK,54.51,35.06,215.04,7.51,1112.93
Machine_1,2025-04-06 08:48:00,OK,46.12,53.27,227.93,5.16,2163.01
Machine_1,2025-04-06 08:52:00,Not OK,44.01,90.26,255.88,9.39,4842.79
Machine_1,2025-04-06 08:56:00,OK,27.99,48.18,223.95,9.30,1649.80
Machine_1,2025-04-06 09:00:00,OK,20.17,48.48,224.50,7.87,1594.83
Machine_1,2025-04-06 09:04:00,Not OK,36.30,41.84,203.86,3.97,1337.54
Machine_1,2025-04-06 09:08:00,Not OK,41.68,87.07,248.84,6.84,2464.30
Machine_1,2025-04-06 09:12:00,OK,46.20,41.34,232.41,7.90,780.04
Machine_1,2025-04-06 09:16:00,OK,23.03,34.20,235.39,9.96,2450.60
Machine_1,2025-04-06 09:20:00,OK,59.07,50.14,214.81,8.43,2097.11
Machine_1,2025-04-06 09:24:00,OK,38.63,41.37,225.82,9.05,1679.42
Machine_1,2025-04-06 09:28:00,OK,52.84,55.69,239.50,5.46,1130.15
Machine_1,2025-04-06 09:32:00,OK,28.49,38.97,234.56,5.80,1935.11
Machine_1,2025-04-06 09:36:00,Not OK,59.87,81.60,227.47,8.59,4714.05
Machine_1,2025-04-06 09:40:00,Not OK,39.29,58.62,223.85,5.86,100.07
Machine_1,2025-04-06 09:44:00,OK,41.07,33.96,213.46,8.11,866.50
Machine_1,2025-04-06 09:48:00,OK,33.76,37.16,233.65,7.39,737.12
Machine_1,2025-04-06 09:52:00,OK,46.69,51.14,219.34,8.15,2477.75
Machine_1,2025-04-06 09:56:00,OK,22.15,40.15,217.19,5.56,1118.47
Machine_1,2025-04-06 10:00:00,OK,20.99,57.15,239.30,5.01,1381.85
Machine_1,2025-04-06 10:04:00,Not OK,59.63,51.27,255.76,13.79,1609.80
Machine_1,2025-04-06 10:08:00,OK,41.05,45.07,234.62,5.38,660.59
Machine_1,2025-04-06 10:12:00,Not OK,21.32,41.78,258.40,7.74,1187.88
Machine_1,2025-04-06 10:16:00,Not OK,23.18,34.68,257.75,7.27,2125.36
Machine_1,2025-04-06 10:20:00,OK,51.22,33.31,211.11,8.77,526.91
Machine_1,2025-04-06 10:24:00,OK,40.20,40.64,233.39,6.45,1041.42
Machine_1,2025-04-06 10:28:00,Not OK,46.67,19.20,227.41,2.37,2012.36
Machine_1,2025-04-06 10:32:00,Not OK,5.54,41.24,245.99,9.77,3730.34
Machine_1,2025-04-06 10:36:00,OK,50.19,51.94,225.37,8.12,1006.59
Machine_1,2025-04-06 10:40:00,OK,43.68,58.71,238.06,5.01,2340.86
Machine_1,2025-04-06 10:44:00,OK,47.66,48.04,221.01,9.75,1944.37
Machine_1,2025-04-06 10:48:00,OK,59.50,43.00,215.96,5.44,1951.02
Machine_1,2025-04-06 10:52:00,OK,45.68,47.39,230.87,9.91,810.62
Machine_1,2025-04-06 10:56:00,OK,22.22,49.22,226.98,7.77,2400.94
Machine_1,2025-04-06 11:00:00,OK,30.69,30.07,237.24,7.75,1833.49
Machine_1,2025-04-06 11:04:00,OK,43.51,40.52,217.55,6.21,1951.21
Machine_1,2025-04-06 11:08:00,OK,45.77,32.09,219.13,6.84,1499.51
Machine_1,2025-04-06 11:12:00,Not OK,47.94,85.08,223.19,9.41,564.28
Machine_1,2025-04-06 11:16:00,OK,43.45,47.37,225.67,6.61,1601.80
Machine_1,2025-04-06 11:20:00,OK,56.85,54.75,214.85,5.45,992.29
