INSERT INTO AllData (id_maquina, data, estado, temperature, humidity, voltage, current, power) VALUES
('Machine_1','2025-04-05 23:20:00','OK',32.44,39.61,218.01,5.95,1004.79),
('Machine_1','2025-04-05 23:24:00','Not OK',73.08,32.40,224.68,18.77,4073.00),
('Machine_1','2025-04-05 23:28:00','OK',37.76,44.22,238.32,7.15,2463.00),
('Machine_1','2025-04-05 23:32:00','Not OK',66.55,53.32,239.35,18.02,3638.62),
('Machine_1','2025-04-05 23:36:00','Not OK',68.74,31.55,233.00,17.63,3927.63),
('Machine_1','2025-04-05 23:40:00','OK',48.78,34.61,239.29,5.71,2405.73),
('Machine_1','2025-04-05 23:44:00','OK',32.10,45.25,224.76,7.75,1151.16),
('Machine_1','2025-04-05 23:48:00','OK',48.96,40.24,222.12,5.97,2032.73),
('Machine_1','2025-04-05 23:52:00','Not OK',63.95,57.89,211.16,18.49,4402.10),
('Machine_1','2025-04-05 23:56:00','OK',25.01,47.30,232.63,9.21,2384.95),
('Machine_1','2025-04-06 00:00:00','OK',40.16,54.95,217.45,7.60,2488.82),
('Machine_1','2025-04-06 00:04:00','OK',39.40,50.22,224.97,9.96,818.74),
('Machine_1','2025-04-06 00:08:00','OK',29.15,31.74,235.75,9.50,1757.58),
('Machine_1','2025-04-06 00:12:00','OK',44.02,42.62,238.06,6.21,772.67),
('Machine_1','2025-04-06 00:16:00','OK',31.53,57.03,222.67,6.54,616.18),
('Machine_1','2025-04-06 00:20:00','OK',35.95,54.30,230.80,9.18,849.74),
('Machine_1','2025-04-06 00:24:00','OK',31.63,55.27,215.18,9.77,1526.71),
('Machine_1','2025-04-06 00:28:00','OK',33.05,36.26,220.80,7.04,2492.32),
('Machine_1','2025-04-06 00:32:00','OK',44.44,58.46,239.22,9.04,976.33),
('Machine_1','2025-04-06 00:36:00','OK',43.45,51.00,238.75,6.97,1726.17),
('Machine_1','2025-04-06 00:40:00','OK',42.18,37.75,210.83,8.95,690.03),
('Machine_1','2025-04-06 00:44:00','OK',54.23,49.78,231.14,6.71,2154.14),
('Machine_1','2025-04-06 00:48:00','OK',20.83,32.89,219.10,9.29,1315.27),
('Machine_1','2025-04-06 00:52:00','Not OK',75.65,43.07,220.53,8.97,4965.24),
('Machine_1','2025-04-06 00:56:00','OK',44.99,50.13,235.82,5.53,1647.59),
('Machine_1','2025-04-06 01:00:00','Not OK',80.86,35.63,214.34,17.00,4088.29),
('Machine_1','2025-04-06 01:04:00','OK',43.33,45.66,226.44,9.97,785.67),
('Machine_1','2025-04-06 01:08:00','OK',56.32,59.47,239.06,7.80,2021.83),
('Machine_1','2025-04-06 01:12:00','Not OK',77.56,50.00,224.98,19.80,4456.85),
('Machine_1','2025-04-06 01:16:00','OK',45.08,37.41,226.97,6.58,1891.66),
('Machine_1','2025-04-06 01:20:00','OK',58.21,47.38,226.83,9.90,950.46),
('Machine_1','2025-04-06 01:24:00','OK',22.60,48.62,229.49,9.64,849.99),
('Machine_1','2025-04-06 01:28:00','OK',32.41,34.28,216.19,9.97,584.86),
('Machine_1','2025-04-06 01:32:00','OK',25.06,56.23,230.40,5.31,2113.42),
('Machine_1','2025-04-06 01:36:00','Not OK',89.97,52.21,231.04,16.82,4033.33),
('Machine_1','2025-04-06 01:40:00','OK',51.48,45.77,236.95,8.54,1813.27),
('Machine_1','2025-04-06 01:44:00','Not OK',53.17,89.16,199.29,6.16,3942.67),
('Machine_1','2025-04-06 01:48:00','OK',52.67,59.56,237.01,8.93,1111.41),
('Machine_1','2025-04-06 01:52:00','OK',26.06,50.91,217.05,5.36,1906.52),
('Machine_1','2025-04-06 01:56:00','OK',35.69,49.33,223.09,6.63,896.49),
('Machine_1','2025-04-06 02:00:00','OK',41.21,47.35,227.02,8.60,2135.09),
('Machine_1','2025-04-06 02:04:00','OK',31.37,35.37,234.33,7.64,501.51),
('Machine_1','2025-04-06 02:08:00','OK',54.93,30.33,234.09,6.36,2306.82),
('Machine_1','2025-04-06 02:12:00','OK',47.05,45.07,213.93,5.63,2287.23),
('Machine_1','2025-04-06 02:16:00','OK',28.13,38.61,217.10,7.37,1680.05),
('Machine_1','2025-04-06 02:20:00','OK',29.18,49.87,216.66,7.91,1016.90),
('Machine_1','2025-04-06 02:24:00','OK',58.11,54.07,233.52,6.95,2045.57),
('Machine_1','2025-04-06 02:28:00','OK',29.46,57.25,216.76,7.87,2385.98),
('Machine_1','2025-04-06 02:32:00','OK',37.10,48.20,222.83,5.40,967.42),
('Machine_1','2025-04-06 02:36:00','OK',55.85,56.23,227.46,6.78,2082.23),
('Machine_1','2025-04-06 02:40:00','Not OK',31.87,40.86,195.30,5.87,759.02),
('Machine_1','2025-04-06 02:44:00','OK',27.50,52.18,212.96,9.94,838.38),
('Machine_1','2025-04-06 02:48:00','Not OK',67.72,34.59,238.34,19.88,4176.03),
('Machine_1','2025-04-06 02:52:00','OK',35.06,30.56,232.11,9.30,2370.53),
('Machine_1','2025-04-06 02:56:00','OK',53.20,36.57,238.94,9.32,2450.05),
('Machine_1','2025-04-06 03:00:00','OK',31.55,51.40,222.89,9.97,879.36),
('Machine_1','2025-04-06 03:04:00','OK',58.33,46.17,233.83,7.47,634.51),
('Machine_1','2025-04-06 03:08:00','OK',49.32,51.21,226.06,5.69,542.77),
('Machine_1','2025-04-06 03:12:00','OK',35.81,52.03,213.52,9.59,1443.91),
('Machine_1','2025-04-06 03:16:00','Not OK',85.43,55.49,236.35,17.74,4085.21),
('Machine_1','2025-04-06 03:20:00','OK',49.37,42.61,231.54,5.67,2121.72),
('Machine_1','2025-04-06 03:24:00','Not OK',20.56,82.68,196.80,8.71,4241.65),
('Machine_1','2025-04-06 03:28:00','OK',58.47,46.68,225.93,8.04,892.91),
('Machine_1','2025-04-06 03:32:00','OK',25.63,42.50,224.19,6.65,1717.77),
('Machine_1','2025-04-06 03:36:00','Not OK',41.22,80.44,198.71,6.16,3986.53),
('Machine_1','2025-04-06 03:40:00','OK',20.57,42.12,217.27,6.48,963.04),
('Machine_1','2025-04-06 03:44:00','OK',42.05,48.82,210.70,8.63,799.26),
('Machine_1','2025-04-06 03:48:00','OK',55.20,40.63,212.10,6.25,1863.05),
('Machine_1','2025-04-06 03:52:00','Not OK',26.39,82.57,194.94,9.07,4393.95),
('Machine_1','2025-04-06 03:56:00','OK',25.02,47.42,229.35,6.94,2319.94),
('Machine_1','2025-04-06 04:00:00','Not OK',61.22,46.67,231.63,19.16,4267.56),
('Machine_1','2025-04-06 04:04:00','OK',48.09,55.29,225.24,9.89,1423.05),
('Machine_1','2025-04-06 04:08:00','Not OK',83.49,52.25,234.48,7.56,4070.67),
('Machine_1','2025-04-06 04:12:00','OK',50.60,37.55,212.93,5.10,1788.05),
('Machine_1','2025-04-06 04:16:00','Not OK',72.85,47.81,218.41,18.26,4350.98),
('Machine_1','2025-04-06 04:20:00','OK',40.37,44.26,222.01,7.37,691.94),
('Machine_1','2025-04-06 04:24:00','OK',30.25,45.83,237.84,5.75,984.44),
('Machine_1','2025-04-06 04:28:00','OK',21.67,49.04,221.99,6.92,1947.14),
('Machine_1','2025-04-06 04:32:00','OK',40.03,50.26,221.09,9.66,1638.44),
('Machine_1','2025-04-06 04:36:00','OK',34.91,34.59,212.84,5.57,1091.77),
('Machine_1','2025-04-06 04:40:00','OK',47.34,39.90,211.26,6.29,1355.81),
('Machine_1','2025-04-06 04:44:00','OK',47.43,45.95,239.97,7.73,1598.47),
('Machine_1','2025-04-06 04:48:00','OK',33.18,35.76,219.11,9.63,613.38),
('Machine_1','2025-04-06 04:52:00','OK',59.36,41.26,210.58,7.54,1518.84),
('Machine_1','2025-04-06 04:56:00','OK',30.24,50.02,237.53,9.02,2225.72),
('Machine_1','2025-04-06 05:00:00','OK',41.18,53.46,212.07,5.21,617.06),
('Machine_1','2025-04-06 05:04:00','Not OK',41.23,43.95,190.22,9.88,512.76),
('Machine_1','2025-04-06 05:08:00','OK',48.74,59.48,231.45,5.07,1975.78),
('Machine_1','2025-04-06 05:12:00','OK',34.00,40.23,230.69,6.15,967.77),
('Machine_1','2025-04-06 05:16:00','OK',39.23,46.37,213.89,8.17,1055.39),
('Machine_1','2025-04-06 05:20:00','OK',40.56,33.29,216.13,9.96,2133.78),
('Machine_1','2025-04-06 05:24:00','OK',59.59,40.13,221.39,6.95,994.98),
('Machine_1','2025-04-06 05:28:00','OK',52.35,43.75,228.34,5.59,1285.48),
('Machine_1','2025-04-06 05:32:00','OK',22.79,47.94,219.18,7.99,1431.48),
('Machine_1','2025-04-06 05:36:00','OK',46.91,30.48,223.57,9.34,904.68),
('Machine_1','2025-04-06 05:40:00','Not OK',55.42,83.66,199.95,5.34,3967.71),
('Machine_1','2025-04-06 05:44:00','OK',45.79,48.21,238.33,8.94,1669.07),
('Machine_1','2025-04-06 05:48:00','OK',27.65,41.60,218.28,8.31,1847.69),
('Machine_1','2025-04-06 05:52:00','OK',40.23,45.00,227.96,6.16,1743.82),
('Machine_1','2025-04-06 05:56:00','OK',28.94,32.32,234.59,6.85,1484.23),
('Machine_1','2025-04-06 06:00:00','OK',57.14,32.56,232.25,6.55,918.12),
('Machine_1','2025-04-06 06:04:00','Not OK',88.70,44.53,218.47,18.64,3858.14),
('Machine_1','2025-04-06 06:08:00','Not OK',64.64,42.38,220.87,18.39,4433.04),
('Machine_1','2025-04-06 06:12:00','OK',34.09,45.74,233.30,8.51,686.34),
('Machine_1','2025-04-06 06:16:00','Not OK',82.65,45.51,211.85,8.42,3891.02),
('Machine_1','2025-04-06 06:20:00','OK',32.56,43.04,234.81,7.32,1547.07),
('Machine_1','2025-04-06 06:24:00','OK',58.20,44.42,217.02,7.23,501.00),
('Machine_1','2025-04-06 06:28:00','Not OK',64.55,38.23,228.28,16.27,4034.27),
('Machine_1','2025-04-06 06:32:00','Not OK',86.04,44.53,220.15,16.22,3958.05),
('Machine_1','2025-04-06 06:36:00','OK',51.48,54.10,233.88,6.29,1868.54),
('Machine_1','2025-04-06 06:40:00','OK',31.00,48.59,218.47,8.84,2320.08),
('Machine_1','2025-04-06 06:44:00','OK',31.85,43.76,222.09,8.83,2331.47),
('Machine_1','2025-04-06 06:48:00','OK',47.73,55.01,229.69,8.91,1869.66),
('Machine_1','2025-04-06 06:52:00','OK',26.81,39.89,219.49,5.00,2032.74),
('Machine_1','2025-04-06 06:56:00','OK',25.55,46.85,214.69,6.87,2034.60),
('Machine_1','2025-04-06 07:00:00','OK',26.32,30.75,228.25,9.05,528.88),
('Machine_1','2025-04-06 07:04:00','Not OK',81.23,56.43,213.33,18.83,4121.25),
('Machine_1','2025-04-06 07:08:00','Not OK',59.70,39.05,191.56,5.98,682.30),
('Machine_1','2025-04-06 07:12:00','OK',58.20,43.95,216.59,7.03,2124.59),
('Machine_1','2025-04-06 07:16:00','Not OK',78.10,31.92,217.69,18.80,4376.77),
('Machine_1','2025-04-06 07:20:00','OK',22.69,50.03,238.45,5.41,1256.17),
('Machine_1','2025-04-06 07:24:00','OK',30.66,53.64,229.16,8.04,543.28),
('Machine_1','2025-04-06 07:28:00','Not OK',48.47,32.63,199.56,7.03,824.09),
('Machine_1','2025-04-06 07:32:00','Not OK',71.32,50.31,216.01,16.17,4481.55),
('Machine_1','2025-04-06 07:36:00','OK',57.42,50.40,231.37,5.58,1349.37),
('Machine_1','2025-04-06 07:40:00','Not OK',38.93,57.80,195.76,6.56,652.69),
('Machine_1','2025-04-06 07:44:00','OK',46.71,58.70,220.03,6.75,727.06),
('Machine_1','2025-04-06 07:48:00','OK',20.76,33.51,210.29,7.27,1207.16),
('Machine_1','2025-04-06 07:52:00','OK',49.64,36.08,221.18,7.77,1799.83),
('Machine_1','2025-04-06 07:56:00','OK',24.55,32.00,210.47,9.38,661.65),
('Machine_1','2025-04-06 08:00:00','Not OK',73.51,35.53,230.14,7.38,4137.93),
('Machine_1','2025-04-06 08:04:00','OK',38.81,46.56,212.90,9.89,709.65),
('Machine_1','2025-04-06 08:08:00','OK',38.26,51.42,228.17,8.92,1652.04),
('Machine_1','2025-04-06 08:12:00','Not OK',82.07,31.49,222.93,16.28,4022.86),
('Machine_1','2025-04-06 08:16:00','OK',55.91,39.81,217.43,9.09,1972.53),
('Machine_1','2025-04-06 08:20:00','OK',28.09,30.72,212.00,6.55,1935.54),
('Machine_1','2025-04-06 08:24:00','OK',25.41,35.66,211.68,8.17,675.24),
('Machine_1','2025-04-06 08:28:00','OK',59.52,45.01,220.64,5.14,504.65),
('Machine_1','2025-04-06 08:32:00','OK',58.09,40.74,233.09,9.74,1949.25),
('Machine_1','2025-04-06 08:36:00','OK',20.74,54.82,224.04,9.49,1934.14),
('Machine_1','2025-04-06 08:40:00','OK',59.93,46.07,238.34,9.84,1731.38),
('Machine_1','2025-04-06 08:44:00','OK',56.19,34.87,233.85,6.45,1580.71),
('Machine_1','2025-04-06 08:48:00','OK',21.59,37.37,218.93,5.35,1634.80),
('Machine_1','2025-04-06 08:52:00','OK',39.11,43.55,211.17,9.96,633.92),
('Machine_1','2025-04-06 08:56:00','Not OK',44.12,81.79,198.70,6.90,4078.70),
('Machine_1','2025-04-06 09:00:00','OK',39.44,33.29,218.35,8.17,1397.66),
('Machine_1','2025-04-06 09:04:00','OK',43.11,31.52,223.08,9.99,941.31),
('Machine_1','2025-04-06 09:08:00','OK',36.35,30.48,239.33,7.31,646.85),
('Machine_1','2025-04-06 09:12:00','OK',21.29,35.04,231.94,9.82,2081.05),
('Machine_1','2025-04-06 09:16:00','Not OK',86.61,39.07,226.61,9.42,4975.49),
('Machine_1','2025-04-06 09:20:00','Not OK',88.08,42.63,221.06,17.57,4231.43),
('Machine_1','2025-04-06 09:24:00','OK',53.64,51.09,214.86,9.97,1460.64),
('Machine_1','2025-04-06 09:28:00','OK',23.39,31.54,230.87,6.56,1036.48),
('Machine_1','2025-04-06 09:32:00','OK',25.25,55.71,233.49,7.99,2260.71),
('Machine_1','2025-04-06 09:36:00','Not OK',73.82,31.54,221.08,17.82,3691.03),
('Machine_1','2025-04-06 09:40:00','Not OK',80.47,41.24,231.30,8.38,4391.36),
('Machine_1','2025-04-06 09:44:00','OK',36.32,50.38,220.01,5.95,1846.66),
('Machine_1','2025-04-06 09:48:00','OK',21.73,58.67,221.86,9.35,1319.91),
('Machine_1','2025-04-06 09:52:00','OK',22.93,37.97,234.11,5.30,2479.15),
('Machine_1','2025-04-06 09:56:00','OK',21.23,37.56,239.06,9.45,694.56),
('Machine_1','2025-04-06 10:00:00','OK',42.23,45.03,213.78,8.32,2054.73),
('Machine_1','2025-04-06 10:04:00','OK',57.01,35.32,238.08,9.88,666.31),
('Machine_1','2025-04-06 10:08:00','Not OK',86.72,56.66,232.28,18.48,4334.26),
('Machine_1','2025-04-06 10:12:00','OK',28.38,55.70,221.76,6.72,1188.22),
('Machine_1','2025-04-06 10:16:00','OK',55.97,44.00,214.53,8.13,1928.82),
('Machine_1','2025-04-06 10:20:00','OK',54.64,32.28,218.50,8.04,1975.25),
('Machine_1','2025-04-06 10:24:00','OK',48.34,41.64,211.97,7.63,2335.18),
('Machine_1','2025-04-06 10:28:00','Not OK',64.94,52.16,233.91,19.90,3719.57),
